"","V1"
"547",0.909
"548",0.9113
"549",0.9213
"550",0.907
"551",0.9146
"552",0.9056
"553",0.9064
"554",0.9105
"555",0.9163
"556",0.9248
"557",0.9269
"558",0.9363
"559",0.9305
"560",0.9279
"561",0.9307
"562",0.9312
"563",0.9357
"564",0.9272
"565",0.9202
"566",0.9182
"567",0.9064
"568",0.8947
"569",0.8996
"570",0.902
"571",0.899
"572",0.8889
"573",0.8922
"574",0.8935
"575",0.8952
"576",0.886
"577",0.884
"578",0.8832
"579",0.8772
"580",0.8845
"581",0.9032
"582",0.902
"583",0.894
"584",0.9018
"585",0.8945
"586",0.884
"587",0.8849
"588",0.8791
"589",0.8778
"590",0.8827
"591",0.8989
"592",0.9002
"593",0.8973
"594",0.8947
"595",0.9013
"596",0.9023
"597",0.8876
"598",0.8907
"599",0.8903
"600",0.8939
"601",0.8919
"602",0.8866
"603",0.8827
"604",0.885
"605",0.8773
"606",0.8745
"607",0.8768
"608",0.8834
"609",0.8815
"610",0.8777
"611",0.8754
"612",0.8685
"613",0.8585
"614",0.8604
"615",0.8591
"616",0.8584
"617",0.8552
"618",0.8558
"619",0.848
"620",0.8478
"621",0.8513
"622",0.8465
"623",0.8543
"624",0.8466
"625",0.8468
"626",0.8494
"627",0.8474
"628",0.8542
"629",0.8492
"630",0.8662
"631",0.8581
"632",0.8563
"633",0.8513
"634",0.8552
"635",0.8528
"636",0.8607
"637",0.8611
"638",0.8622
"639",0.8511
"640",0.848
"641",0.8455
"642",0.8497
"643",0.8453
"644",0.8422
"645",0.8384
"646",0.8459
"647",0.8545
"648",0.8611
"649",0.8538
"650",0.8539
"651",0.8583
"652",0.8516
"653",0.863
"654",0.8723
"655",0.8776
"656",0.8676
"657",0.8708
"658",0.8793
"659",0.8764
"660",0.8768
"661",0.8751
"662",0.8755
"663",0.8817
"664",0.8788
"665",0.8806
"666",0.8805
"667",0.8768
"668",0.8763
"669",0.8853
"670",0.8936
"671",0.8991
"672",0.8968
"673",0.9114
"674",0.9144
"675",0.9138
"676",0.9149
"677",0.9128
"678",0.9216
"679",0.9112
"680",0.9108
"681",0.909
"682",0.9042
"683",0.9122
"684",0.9095
"685",0.9158
"686",0.9072
"687",0.897
"688",0.8891
"689",0.8855
"690",0.8952
"691",0.9047
"692",0.8964
"693",0.9052
"694",0.906
"695",0.9219
"696",0.9269
"697",0.9256
"698",0.9258
"699",0.9259
"700",0.92
"701",0.9164
"702",0.9176
"703",0.9219
"704",0.9205
"705",0.9131
"706",0.9125
"707",0.9189
"708",0.9209
"709",0.9117
"710",0.9174
"711",0.9214
"712",0.9193
"713",0.9136
"714",0.9062
"715",0.904
"716",0.9097
"717",0.9052
"718",0.9022
"719",0.9026
"720",0.9009
"721",0.8969
"722",0.8887
"723",0.8917
"724",0.8889
"725",0.8911
"726",0.9005
"727",0.9064
"728",0.9042
"729",0.9097
"730",0.9056
"731",0.8961
"732",0.8961
"733",0.9014
"734",0.8972
"735",0.893
"736",0.8919
"737",0.8842
"738",0.8803
"739",0.8825
"740",0.8845
"741",0.8793
"742",0.8824
"743",0.8791
"744",0.8778
"745",0.8795
"746",0.8818
"747",0.8788
"748",0.8831
"749",0.8887
"750",0.8898
"751",0.8925
"752",0.8902
"753",0.8919
"754",0.8889
"755",0.8911
"756",0.885
"757",0.8908
"758",0.8938
"759",0.8975
"760",0.9016
"761",0.9049
"762",0.9012
"763",0.8983
"764",0.8973
"765",0.8943
"766",0.8798
"767",0.8823
"768",0.8813
"769",0.9038
"770",0.9036
"771",0.8954
"772",0.8905
"773",0.8909
"774",0.8921
"775",0.8909
"776",0.8919
"777",0.8927
"778",0.8922
"779",0.8817
"780",0.8819
"781",0.881
"782",0.884
"783",0.883
"784",0.8856
"785",0.8767
"786",0.8663
"787",0.8578
"788",0.8624
"789",0.8642
"790",0.8637
"791",0.8632
"792",0.8644
"793",0.8683
"794",0.8664
"795",0.8664
"796",0.874
"797",0.8794
"798",0.8753
"799",0.8731
"800",0.8693
"801",0.8705
"802",0.8715
"803",0.8692
"804",0.8743
"805",0.8701
"806",0.8747
"807",0.8724
"808",0.8682
"809",0.8649
"810",0.8651
"811",0.8679
"812",0.8649
"813",0.8682
"814",0.8712
"815",0.8764
"816",0.8797
"817",0.8741
"818",0.8733
"819",0.8734
"820",0.8803
"821",0.8853
"822",0.8792
"823",0.8829
"824",0.8814
"825",0.8817
"826",0.8795
"827",0.8759
"828",0.8737
"829",0.8746
"830",0.8724
"831",0.8786
"832",0.8803
"833",0.8818
"834",0.8786
"835",0.8778
"836",0.8763
"837",0.8798
"838",0.8794
"839",0.8803
"840",0.8802
"841",0.8803
